nohup: ignoring input
2025-01-07T15:39:16 (svs.sh:211:main) ./svs.sh --lang zh --local_data_opts --stage 1 --feats_type raw --fs 24000 --fmax 22050 --fmin 0 --n_fft 2048 --n_shift 256 --win_length 2048 --token_type phn --g2p None --cleaner none --train_config conf/train.yaml --inference_config conf/decode.yaml --train_set tr_no_dev --valid_set dev --test_sets dev eval --score_feats_extract syllable_score_feats --srctexts data/tr_no_dev/text --audio_format wav --stage 8 --stop_stage 10 --svs_task gan_svs --pitch_extract dio --feats_extract fbank --feats_normalize none --train_config conf/train.yaml --score_feats_extract syllable_score_feats --inference_model latest.pth --write_collected_feats true
2025-01-07T15:39:17 (svs.sh:1070:main) Stage 8: Scoring
2025-01-07T15:39:17 (svs.sh:1081:main) Begin Scoring for MCD metrics on dev, results are written under exp/svs_train_raw_phn_None_zh/decode_latest/dev/MCD_res
2025-01-07 15:39:20,272 (evaluate_mcd:287) INFO: The number of utterances = 105
2025-01-07 15:39:24,100 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0003 7.7111
2025-01-07 15:39:24,268 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0000 9.2914
2025-01-07 15:39:24,310 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Pharyngeal_曹操_ControlGroup_0000 10.0381
2025-01-07 15:39:24,474 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0008 7.5666
2025-01-07 15:39:24,522 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Mixed_Voice_and_Falsetto_曹操_ControlGroup_0000 10.4751
2025-01-07 15:39:24,591 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Glissando_大鱼_ControlGroup_0006 9.5981
2025-01-07 15:39:25,150 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_ControlGroup_0003 5.9492
2025-01-07 15:39:25,212 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Breathy_不再见_BreathyGroup_0000 9.4708
2025-01-07 15:39:25,648 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_大鱼_ControlGroup_0010 6.8188
2025-01-07 15:39:25,774 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Pharyngeal_大鱼_ControlGroup_0006 7.6489
2025-01-07 15:39:25,800 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_ControlGroup_0003 5.5040
2025-01-07 15:39:25,853 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Vibrato_不再见_ControlGroup_0001 9.3958
2025-01-07 15:39:25,895 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Tenor1_Breathy_爱情转移_BreathyGroup_0005 6.5955
2025-01-07 15:39:26,909 (evaluate_mcd:171) INFO: GTSINGER_CHINESE_Alto1_Glissando_曹操_ControlGroup_0006 6.8655
