nohup: ignoring input
2025-01-15T17:16:16 (svs2.sh:249:main) ./svs2.sh --lang zh --stage 1 --stop_stage 9 --local_data_opts --stage 0 --feats_type raw --pitch_extract dio --fs 16000 --fmax 7600 --fmin 80 --n_fft 2048 --n_shift 320 --win_length 1200 --token_type phn --g2p none --cleaner none --preset_layer none --preset_token none --train_config conf/tuning/ --inference_config conf/tuning/decode.yaml --gpu_inference true --train_set tr_no_dev --valid_set dev --test_sets test --score_feats_extract syllable_score_feats --srctexts data/tr_no_dev/text --RVQ_layers 1 --kmeans_opts --batch_bins 4800000 --kmeans_feature wavlm_large/6 --multi_token  --mix_type frame --nclusters 128 --RVQ_layers 1 --ngpu 1 --stage 8 --train_config conf/tuning/train_toksing.yaml --mix_type frame --vocoder_file /data5/arllan/ParallelWaveGAN/egs/opencpop/token_voc1/exp/train_opencpop_hifigan_token_16k_nodp_f0.v1/checkpoint-250000steps.pkl
2025-01-15T17:16:17 (svs2.sh:1130:main) Stage 8: Decoding: training_dir=exp/svs_train_toksing_raw_phn_none_zh
2025-01-15T17:16:17 (svs2.sh:1170:main) Generate 'exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/run.sh'. You can resume the process from stage 8 using this script
2025-01-15T17:16:17 (svs2.sh:1241:main) Decoding started... log: 'exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/log/svs_inference.*.log'
2025-01-15T17:18:00 (svs2.sh:1337:main) Stage 9: Scoring
2025-01-15T17:18:00 (svs2.sh:1348:main) Begin Scoring for token accuracy on test, results are written under exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/Accuracy_res
2025-01-15T17:18:00 (svs2.sh:1360:main) Begin Scoring for MCD metrics on test, results are written under exp/svs_train_toksing_raw_phn_none_zh/decode_valid.loss.best/test/MCD_res
2025-01-15 17:18:02,570 (evaluate_mcd:287) INFO: The number of utterances = 206
2025-01-15 17:18:03,369 (evaluate_mcd:171) INFO: opencpop_2100003720 7.9832
2025-01-15 17:18:03,589 (evaluate_mcd:171) INFO: opencpop_2086003180 8.2961
2025-01-15 17:18:03,598 (evaluate_mcd:171) INFO: opencpop_2100003745 9.4325
2025-01-15 17:18:03,660 (evaluate_mcd:171) INFO: opencpop_2044001641 8.9733
2025-01-15 17:18:03,689 (evaluate_mcd:171) INFO: opencpop_2100003733 8.7386
2025-01-15 17:18:03,717 (evaluate_mcd:171) INFO: opencpop_2044001628 6.9082
2025-01-15 17:18:03,722 (evaluate_mcd:171) INFO: opencpop_2093003452 9.0149
2025-01-15 17:18:03,805 (evaluate_mcd:171) INFO: opencpop_2044001654 8.4311
2025-01-15 17:18:03,855 (evaluate_mcd:171) INFO: opencpop_2093003478 10.8152
2025-01-15 17:18:03,867 (evaluate_mcd:171) INFO: opencpop_2093003465 10.6639
2025-01-15 17:18:04,039 (evaluate_mcd:171) INFO: opencpop_2086003193 8.9972
2025-01-15 17:18:04,201 (evaluate_mcd:171) INFO: opencpop_2092003426 9.9424
2025-01-15 17:18:04,221 (evaluate_mcd:171) INFO: opencpop_2092003439 11.3761
2025-01-15 17:18:04,259 (evaluate_mcd:171) INFO: opencpop_2100003721 8.8359
2025-01-15 17:18:04,536 (evaluate_mcd:171) INFO: opencpop_2100003746 10.0113
2025-01-15 17:18:04,544 (evaluate_mcd:171) INFO: opencpop_2086003181 8.5952
